0a2b726e-d4eb-4ca4-b043-fe6b75c32bbe.png,3_24+5,Ограничение скорости 5 км.ч
00db5162-bba3-4845-ba09-5c54d35ca109.png,1_12_1,Участок дороги с опасными поворотами, с первым поворотом направо
0a431cf0-d308-49ad-a803-8853486cf50a.png,1_12_2,Участок дороги с опасными поворотами, с первым поворотом налево
0a25e2bd-e68e-47d0-97fd-5437e112b76c.png,1_13,«Крутой спуск»
00ffe383-5aed-4f84-8a5f-0adfc6d4d010.png,1_14,«Крутой подъем»
00f41502-0d6d-4403-a414-f59a7a9afe30.png,1_24,«Пересечение с велосипедной дорожкой или велопешеходной дорожкой»
0a286b99-5173-4988-bf63-ad97c7521fd1.png,1_27,«Дикие животные»
0a75fd17-faf9-41ea-a963-59768c471b19.png,3_21,«Конец зоны запрещения обгона»
00fae4ab-a88a-4ae9-bd17-2a94f96464e1.png,4_4_1,«Велосипедная дорожка»
0a83ff56-af11-4b87-9ea2-125dd6d32121.png,4_4_2,«Конец велосипедной дорожки»
00d08acd-4671-442e-8cf7-d83b46185cdc.png,4_5_4,«Пешеходная и велосипедная дорожка с разделением движения»
0a3a1b83-e342-4e68-bab7-7c815d160f30.png,4_5_5,«Пешеходная и велосипедная дорожка с разделением движения»
0a9f40c5-27c5-457d-9560-d3e087a2eec9.png,7_1,«Пункт медицинской помощи»
0a746a52-5ae5-471b-8b9e-3c798e9b58b1.png,7_11,«Место отдыха»
0a41c9ea-e803-47ba-9aec-07bf2028a42a.png,7_14,«Пункт транспортного контроля»
0a77b412-b32a-404a-a5bd-3f3fc15dab47.png,7_2,«Больница»
0a002a94-78ff-4d0d-984b-da8e4b57dad7.png,smok,-------
00d8df84-c49d-4ba4-a214-d8da322231bb.png,unknow,-------
00ffac52-3c9b-4b0c-8859-abb88e241a8c.png,1_11_1,«Опасный поворот»
0a933eb3-2c86-46e1-a5a4-c85ccfbbf523.png,1_15,«Скользкая дорога»
0a4dd73c-b463-455c-be9b-981a49a41de7.png,1_20_1,«Сужение дороги»
0a322c9b-d255-4f1c-9dae-a07db2e3994e.png,1_22,«Пешеходный переход»
0a2c67b1-5679-40b3-a90e-5c2ec9369078.png,1_25,«Дорожные работы»
00f224ef-d46e-4000-9d16-e12b22ec10bb.png,1_30,«Низколетящие самолеты»
0a8c759f-bfc8-414c-95b6-1582b7e43c22.png,2_3_L,«Примыкание второстепенной дороги»
00e82642-4dcd-474d-9ae9-1b2fe73c9897.png,2_3_R,«Примыкание второстепенной дороги» справа
0a640df0-7a72-447b-9dfb-e485c1dd00ef.png,3_15,«Ограничение длины»
0a0169b2-07e0-4d0d-9dee-5c273725d571.png,7_6,«Телефон»
00d27c64-0a23-4490-9d91-ddaf34cf7129.png,1_17,«Исскуственная неровность»
