filename,label
train_images/c8e6dec4-79f0-469f-be8b-9881f5943dca.png,3_24+10
train_images/75fac931-0467-404a-8195-23d1a8875796.png,3_24+10
train_images/ee7074aa-a71a-4fbf-b7ca-4dc22521460e.png,3_24+10
train_images/f0e6b784-de28-4fd6-a1ff-97b1fa96e955.png,3_24+10
train_images/246cec0f-a900-45d1-b097-c8d2c3a4c2fb.png,3_24+10
train_images/e875c187-fb50-4062-b9fc-70c8add5ec90.png,3_24+10
train_images/889d37d4-6463-4dc3-801b-70c7965a54e6.png,3_24+10
train_images/bdbfa56d-d789-41da-9530-b29892977530.png,3_24+10
train_images/74b4407e-9a06-4fba-b2e8-f85c844f670e.png,3_24+10
train_images/98e20d75-f9af-4bfc-93fb-4e0067de23ef.png,3_24+10
train_images/f335c29a-8268-49ae-82d8-43b8ca11c6a4.png,3_24+10
train_images/4f443b18-8854-4950-be7b-09e5a25bba4f.png,3_24+10
train_images/212ecd50-d133-42be-957a-796c30c0a71a.png,3_24+10
train_images/f0ee2773-e658-437a-81d9-e825a6d9bef3.png,3_24+10
train_images/0257b4d8-0d66-41a0-a706-6f8a2c5ab32e.png,3_24+10
train_images/9c8a378c-d322-4922-a5f9-7f3c94ff0ff6.png,3_24+10
train_images/ea060bb1-2bca-4e4b-aca5-f23b1442d8e8.png,3_24+10
train_images/51e736d9-260e-48f9-a40f-09264c6937ab.png,3_24+10
train_images/34e2074a-ada1-48e7-8295-356060958583.png,3_24+10
train_images/adce78a2-87f2-408b-9954-2af567f3f9c1.png,3_24+10
train_images/024dc3ed-0105-4d3f-b7b9-013068df8828.png,3_24+10
train_images/6ed312cb-da8c-4b4a-8582-812618de313b.png,3_24+10
train_images/cef6e2e9-4160-458f-ad34-42236b7204f2.png,3_24+10
train_images/da122dfc-729c-4127-aecb-582523bd9268.png,3_24+10
train_images/fcf789b2-03f8-465f-93c0-10c8d1bf7cae.png,3_24+10
train_images/8a6f15d3-4534-4d12-84e6-001a6fd4b74a.png,3_24+10
train_images/a47f2688-dbab-461e-b8e2-eef7de2a9022.png,3_24+10
train_images/5cbebf6b-d738-4697-9063-ea2049d81d40.png,3_24+10
